Nome,Categoria,Bio
Edwin Drake,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Pioniere dell'industria petrolifera statunitense, fu il primo a perforare con successo per il petrolio negli Stati Uniti.**, è anche massone per il seguente motivo: **Inventore e pioniere.**
Francis Drake (antiquary),MASSONE,È un **Massone**. Precisamente: **Medico e storico di York.**
Richard Dreyfuss,MASSONE,È un **Massone**. Precisamente: **Attore statunitense.**
George Drummond,MASSONE,È un **Massone**. Precisamente: **Politico scozzese, Lord Prevosto di Edimburgo. Gran Maestro di Scozia.**
Gilbert du Motier, Marquis de Lafayette,MASSONE,È un **Massone**. Precisamente: **Ufficiale militare francese, servì come generale nella Guerra Rivoluzionaria Americana e leader della Guardia Nazionale.**
Juan Pablo Duarte,MASSONE,È un **Massone**. Precisamente: **Uomo d'affari, scrittore e leader ideologico dell'indipendenza della Repubblica Dominicana.**
Jovan Dučić,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Poeta, scrittore e diplomatico serbo, considerato uno dei più grandi poeti serbi del XX secolo.**, è anche massone per il seguente motivo: **Poeta di fama.**
George Dudley,MASSONE,È un **Massone**. Precisamente: **Dirigente e avvocato canadese di hockey su ghiaccio.**
Robert Duff,MASSONE,È un **Massone**. Precisamente: **Politico britannico, Gran Maestro del New South Wales.**
Gerald du Maurier,MASSONE,È un **Massone**. Precisamente: **Attore e attore-manager britannico.**
Henry Dunant,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Umanitario svizzero, fondatore della Croce Rossa e co-vincitore del primo Premio Nobel per la Pace.**, è anche massone per il seguente motivo: **Fondatore e Premio Nobel.**
Thomas Dunckerley,MASSONE,È un **Massone**. Precisamente: **Ritualista e autore.**
Lawrence Dundas,MASSONE,È un **Massone**. Precisamente: **1° Conte di Zetland.**
Thomas Dundas,MASSONE,È un **Massone**. Precisamente: **2° Conte di Zetland, Gran Maestro della Gran Loggia d'Inghilterra.**
Colonel Sir Weary Dunlop,MASSONE,È un **Massone**. Precisamente: **Chirurgo e prigioniero di guerra australiano durante la Seconda Guerra Mondiale.**
John Boyd Dunlop,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Inventore scozzese, noto per l'invenzione dello pneumatico moderno.**, è anche massone per il seguente motivo: **Inventore di fama.**
Alexander Roberts Dunn,MASSONE,È un **Massone**. Precisamente: **Primo canadese a ricevere la Victoria Cross.**
Jimmy Dunn,MASSONE,È un **Massone**. Precisamente: **Dirigente sportivo canadese.**
Herbert Dunnico,MASSONE,È un **Massone**. Precisamente: **Politico britannico.**
John Ward Dunsmore,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Pittore americano, noto per le sue scene storiche.**, è anche massone per il seguente motivo: **Artista di fama.**
Joseph Duveen,MASSONE,È un **Massone**. Precisamente: **1° Barone Duveen, mercante d'arte britannico.**
George Howard Earle III,MASSONE,È un **Massone**. Precisamente: **38° governatore della Pennsylvania e diplomatico.**
Hubert L. Eaton,MASSONE,È un **Massone**. Precisamente: **Chimico americano, originatore dei cimiteri "Memorial park".**
John David Eaton,MASSONE,È un **Massone**. Precisamente: **Presidente della T. Eaton Company canadese.**
Darío Echandía,MASSONE,È un **Massone**. Precisamente: **Politico colombiano e Ambasciatore presso la Santa Sede.**
Merritt A. Edson Sr.,MASSONE,È un **Massone**. Precisamente: **Generale Maggiore del Corpo dei Marines degli Stati Uniti, ricevette la Medal of Honor.**
Prince Edward, Duke of Kent,MASSONE,È un **Massone**. Precisamente: **Membro della Famiglia Reale Britannica, Gran Maestro della United Grand Lodge of England (UGLE).**
Prince Edward, Duke of York and Albany,MASSONE,È un **Massone**. Precisamente: **Fratello minore di Giorgio III del Regno Unito.**
Edward VII,MASSONE,È un **Massone**. Precisamente: **Re di Gran Bretagna.**
Edward VIII,MASSONE,È un **Massone**. Precisamente: **Re di Gran Bretagna.**
Wilbraham Egerton,MASSONE,È un **Massone**. Precisamente: **1° Conte Egerton, politico britannico.**
Gustave Eiffel,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Ingegnere e architetto francese, progettista della Torre Eiffel.**, è anche massone per il seguente motivo: **Ingegnere e architetto di fama mondiale.**
Donn F. Eisele,MASSONE,È un **Massone**. Precisamente: **Astronauta americano.**
Philip Eliot,MASSONE,È un **Massone**. Precisamente: **Ecclesiastico anglicano inglese, Vescovo di Buckingham.**
Duke Ellington,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Musicista, compositore e bandleader jazz americano, una figura centrale del jazz.**, è anche massone per il seguente motivo: **Compositore di fama mondiale.**
William Ellison-Macartney,MASSONE,È un **Massone**. Precisamente: **Politico britannico e governatore australiano.**
Oliver Ellsworth,MASSONE,È un **Massone**. Precisamente: **Chief Justice della Corte Suprema degli Stati Uniti.**
John Elway,MASSONE,È un **Massone**. Precisamente: **Quarterback della Hall of Fame per i Denver Broncos.**
James Emmert,MASSONE,È un **Massone**. Precisamente: **Procuratore Generale dell'Indiana e Justice della Corte Suprema dell'Indiana.**
John Entwistle,MASSONE,È un **Massone**. Precisamente: **Bassista, membro della Rock and Roll Hall of Fame The Who.**
Ernest II,MASSONE,È un **Massone**. Precisamente: **Duca di Saxe-Coburg e Gotha.**
Ernest Augustus,MASSONE,È un **Massone**. Precisamente: **Re di Hannover.**
David Erskine,MASSONE,È un **Massone**. Precisamente: **11° Conte di Buchan, 34° Gran Maestro Muratore di Scozia.**
Henry Erskine,MASSONE,È un **Massone**. Precisamente: **10° Conte di Buchan, 10° Gran Maestro Muratore di Scozia.**
Henry Erskine,MASSONE,È un **Massone**. Precisamente: **12° Conte di Buchan, 59° Gran Maestro Muratore di Scozia.**
Thomas Erskine,MASSONE,È un **Massone**. Precisamente: **6° Conte di Kellie, musicista scozzese, Gran Maestro di Scozia.**
Sam Ervin,MASSONE,È un **Massone**. Precisamente: **Senatore degli Stati Uniti per la Carolina del Nord.**
Ben Espy,MASSONE,È un **Massone**. Precisamente: **Politico americano, servì nel Senato dell'Ohio.**
Bob Etheridge,MASSONE,È un **Massone**. Precisamente: **Congressman per la Carolina del Nord.**
Richard Eve,MASSONE,È un **Massone**. Precisamente: **Gran Tesoriere della United Grand Lodge of England.**
Colonel George Everest,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Geometra inglese, Sovrintendente Generale dell'India, da cui prende il nome il Monte Everest.**, è anche massone per il seguente motivo: **Scienziato e geometra.**
Eberhard Faber,MASSONE,È un **Massone**. Precisamente: **Fondatore della Faber Pencil Company.**
Sir Arthur Fadden,MASSONE,È un **Massone**. Precisamente: **13° Primo Ministro dell'Australia.**
Dez Fafara,MASSONE,È un **Massone**. Precisamente: **Cantante dei DevilDriver e Coal Chamber.**
Douglas Fairbanks,MASSONE,È un **Massone**. Precisamente: **Attore e regista cinematografico americano.**
Philip Michael Faraday,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Architetto e compositore inglese.**, è anche massone per il seguente motivo: **Compositore di spicco.**
Brian Faulkner,MASSONE,È un **Massone**. Precisamente: **Soldato britannico.**
Bob Feller,MASSONE,È un **Massone**. Precisamente: **Atleta americano, lanciatore della Major League Baseball.**
Rigas Feraios,MASSONE,È un **Massone**. Precisamente: **Eroe nazionale della Grecia.**
Charles Fergusson,MASSONE,È un **Massone**. Precisamente: **Governatore-Generale della Nuova Zelanda, Gran Maestro.**
Enrico Fermi,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Fisico italiano, vincitore del Premio Nobel (1938), noto per il suo lavoro sulla fisica nucleare e per la creazione del primo reattore nucleare.**, è anche massone per il seguente motivo: **Premio Nobel e scienziato fondamentale.**
Ettore Ferrari,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Scultore italiano, fu Gran Maestro del Grande Oriente d'Italia.**, è anche massone per il seguente motivo: **Scultore di spicco.**
Jules Ferry,MASSONE,È un **Massone**. Precisamente: **Politico francese.**
Ignaz Aurelius Fessler,MASSONE,È un **Massone**. Precisamente: **Ecclesiastico e scrittore ungherese.**
Johann Gottlieb Fichte,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Filosofo tedesco, figura fondamentale dell'Idealismo tedesco.**, è anche massone per il seguente motivo: **Filosofo di fama.**
Stephen Johnson Field,MASSONE,È un **Massone**. Precisamente: **Giudice Associato della Corte Suprema degli Stati Uniti.**
W. C. Fields,MASSONE,È un **Massone**. Precisamente: **Comico americano.**
Charles Grandison Finney,MASSONE,È un **Massone**. Precisamente: **Predicatore, evangelista e autore americano.**
Hamilton Fish IV,MASSONE,È un **Massone**. Precisamente: **Congressman per New York.**
Geoffrey Fisher,MASSONE,È un **Massone**. Precisamente: **99° Arcivescovo di Canterbury.**
Abram Fitkin,MASSONE,È un **Massone**. Precisamente: **Uomo d'affari e filantropo americano.**
Lord Frederick FitzClarence,MASSONE,È un **Massone**. Precisamente: **Figlio illegittimo di Re Guglielmo IV. Gran Maestro di Scozia.**
Harris Flanagin,MASSONE,È un **Massone**. Precisamente: **Settimo governatore dell'Arkansas.**
Edwin Flavell,MASSONE,È un **Massone**. Precisamente: **Generale di brigata sotto Field Marshal Montgomery.**
Alexander Fleming,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Biologo e farmacologo scozzese, Premio Nobel (1945), noto per aver scoperto la penicillina.**, è anche massone per il seguente motivo: **Premio Nobel e scienziato fondamentale.**
Sandford Fleming,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Ingegnere e inventore canadese, promosse il sistema di fusi orari standard.**, è anche massone per il seguente motivo: **Inventore di fama.**
Walter Fleming,MASSONE,È un **Massone**. Precisamente: **Co-fondatore degli Shriners.**
Cyril Fletcher,MASSONE,È un **Massone**. Precisamente: **Comico inglese.**
Thomas Fletcher,MASSONE,È un **Massone**. Precisamente: **Governatore ad interim dell'Arkansas.**
William J. Florence,MASSONE,È un **Massone**. Precisamente: **Co-fondatore degli Shriners.**
Arnoldo Foà,MASSONE,È un **Massone**. Precisamente: **Attore italiano.**
Martin Folkes,MASSONE,È un **Massone**. Precisamente: **Presidente della Royal Society. Deputato Gran Maestro della Premier Grand Lodge of England.**
Sir William Forbes,MASSONE,È un **Massone**. Precisamente: **6° Baronetto, banchiere scozzese. Gran Maestro di Scozia.**
Isaac de Forcade de Biaix,MASSONE,È un **Massone**. Precisamente: **Colonnello e Hofmarschall prussiano.**
Gerald Ford,MASSONE,È un **Massone**. Precisamente: **Presidente degli Stati Uniti.**
Glenn Ford,MASSONE,È un **Massone**. Precisamente: **Attore americano.**
Henry Ford,MASSONE,È un **Massone**. Precisamente: **Fondatore della Ford Motor Company.**
Nathan Bedford Forrest,MASSONE,È un **Massone**. Precisamente: **Generale dell'Esercito degli Stati Confederati.**
Steven D. Foster,MASSONE,È un **Massone**. Precisamente: **Politico americano.**
Benjamin Franklin,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Inventore, scienziato, statista e diplomatico americano, figura fondamentale dell'Illuminismo.**, è anche massone per il seguente motivo: **Padre Fondatore e scienziato di fama mondiale.**
Eric Fraser,MASSONE,È un **Massone**. Precisamente: **Dirigente e funzionario pubblico britannico.**
Joe Frazier,MASSONE,È un **Massone**. Precisamente: **Campione di boxe dei pesi massimi.**
Prince Frederick, Duke of York and Albany,MASSONE,È un **Massone**. Precisamente: **Secondo figlio di Re Giorgio III del Regno Unito.**
Prince Frederick of Hesse-Kassel,MASSONE,È un **Massone**. Precisamente: **Nobile tedesco.**
Prince Frederick of the Netherlands,MASSONE,È un **Massone**. Precisamente: **Principe olandese.**
Frederick the Great,MASSONE,È un **Massone**. Precisamente: **Re di Prussia.**
Frederick I of Württemberg,MASSONE,È un **Massone**. Precisamente: **Sovrano di Württemberg.**
Frederick III,MASSONE,È un **Massone**. Precisamente: **Imperatore tedesco e Re di Prussia.**
Frederick VII of Denmark,MASSONE,È un **Massone**. Precisamente: **Re di Danimarca.**
Frederick VIII of Denmark,MASSONE,È un **Massone**. Precisamente: **Re di Danimarca.**
Frederick William II of Prussia,MASSONE,È un **Massone**. Precisamente: **Re di Prussia.**
John French,MASSONE,È un **Massone**. Precisamente: **1° Conte di Ypres, Comandante in Capo della British Expeditionary Force durante la Prima Guerra Mondiale.**
Alfred Hermann Fried,MASSONE,È un **Massone**. Precisamente: **Pacifista e pubblicista ebreo austriaco, vincitore (con Tobias Asser) del Premio Nobel per la Pace.**
Bridge Frodsham,MASSONE,È un **Massone**. Precisamente: **Attore provinciale inglese.**
W. A. Fry,MASSONE,È un **Massone**. Precisamente: **Dirigente sportivo canadese e editore di giornali.**
Boyd C. Fugate,MASSONE,È un **Massone**. Precisamente: **Rappresentante dello stato del Tennessee.**
Jonas Furrer,MASSONE,È un **Massone**. Precisamente: **Primo presidente della Confederazione Svizzera.**
Will Fyffe,MASSONE,È un **Massone**. Precisamente: **Cantante e attore scozzese.**
Ibrahim Gaydarov,MASSONE,È un **Massone**. Precisamente: **Ingegnere di viaggi, nobile e attivista nazionalista.**
Clark Gable,MASSONE,È un **Massone**. Precisamente: **Attore americano.**
Petar Gabrovski,MASSONE,È un **Massone**. Precisamente: **Avvocato e politico bulgaro che fu brevemente Primo Ministro.**
David Galliford,MASSONE,È un **Massone**. Precisamente: **Vescovo di Bolton nella Chiesa d'Inghilterra.**
Léon Gambetta,MASSONE,È un **Massone**. Precisamente: **Politico francese.**
Federico García Lorca,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Poeta, drammaturgo e direttore teatrale spagnolo, una delle figure più importanti della letteratura spagnola.**, è anche massone per il seguente motivo: **Scrittore di fama mondiale.**
James A. Garfield,MASSONE,È un **Massone**. Precisamente: **Presidente degli Stati Uniti.**
Giuseppe Garibaldi,MASSONE,È un **Massone**. Precisamente: **Generale italiano, figura centrale dell'Unificazione d'Italia.**
David Garrick,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Attore inglese, considerato uno dei più grandi attori teatrali di tutti i tempi.**, è anche massone per il seguente motivo: **Attore di fama.**
Antonio Gasparinetti,MASSONE,È un **Massone**. Precisamente: **Poeta e ufficiale militare italiano.**
Richard Jordan Gatling,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Inventore americano, noto per l'invenzione della Gatling gun, la prima mitragliatrice di successo.**, è anche massone per il seguente motivo: **Inventore di fama.**
Licio Gelli,MASSONE,È un **Massone**. Precisamente: **Politico italiano, maestro venerabile della Loggia Propaganda Due (P2), espulso.**
George IV,MASSONE,È un **Massone**. Precisamente: **Re di Gran Bretagna.**
George VI,MASSONE,È un **Massone**. Precisamente: **Re di Gran Bretagna. Gran Maestro della Gran Loggia di Scozia.**
W. B. George,MASSONE,È un **Massone**. Precisamente: **Dirigente sportivo canadese.**
Frank Geyer,MASSONE,È un **Massone**. Precisamente: **Detective della polizia di Philadelphia, noto per l'indagine su H. H. Holmes.**
Ion Ghica,MASSONE,È un **Massone**. Precisamente: **Due volte primo ministro di Romania, quattro volte presidente dell'Accademia Rumena.**
Edward Gibbon,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Storico inglese, autore di "Storia del declino e della caduta dell'Impero Romano".**, è anche massone per il seguente motivo: **Storico di fama mondiale.**
George Gibbs,MASSONE,È un **Massone**. Precisamente: **1° Barone Wraxall, politico conservatore britannico.**
Thomas Gibson-Carmichael,MASSONE,È un **Massone**. Precisamente: **1° Barone Carmichael, Gran Maestro di Scozia.**
Carl Giers,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Fotografo tedesco-americano, pioniere della fotografia americana.**, è anche massone per il seguente motivo: **Artista di spicco.**
W. S. Gilbert,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Drammaturgo e librettista inglese, metà del celebre duo Gilbert e Sullivan.**, è anche massone per il seguente motivo: **Drammaturgo di fama.**
King Camp Gillette,MASSONE,È un **Massone**. Precisamente: **Uomo d'affari americano, noto per aver fondato l'azienda di rasoi Gillette.**
Frank Gillmore,MASSONE,È un **Massone**. Precisamente: **Attore e presidente dell'Actor's Equity.**
Nicholas Gilman,MASSONE,È un **Massone**. Precisamente: **Firmatario della Costituzione degli Stati Uniti, membro del Senato.**
James Glasgow,MASSONE,È un **Massone**. Precisamente: **Primo Segretario di Stato della Carolina del Nord.**
Raymond Glendenning,MASSONE,È un **Massone**. Precisamente: **Commentatore sportivo della BBC.**
John Glenn,MASSONE,È un **Massone**. Precisamente: **Astronauta e Senatore degli Stati Uniti, fu il primo americano a orbitare attorno alla Terra.**
Johann Wolfgang von Goethe,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Poeta, romanziere, drammaturgo, scienziato e filosofo tedesco, figura cardine della letteratura mondiale.**, è anche massone per il seguente motivo: **Autore, scienziato e filosofo di fama universale.**
Octavian Goga,MASSONE,È un **Massone**. Precisamente: **Primo Ministro della Romania.**
Alexandru G. Golescu,MASSONE,È un **Massone**. Precisamente: **Primo Ministro della Romania.**
E. Urner Goodman,MASSONE,È un **Massone**. Precisamente: **Co-fondatore dell'Ordine della Freccia dei Boy Scouts.**
Bazil Gordon,MASSONE,È un **Massone**. Precisamente: **Colono scozzese in America, il primo milionario d'America.**
George Gordon,MASSONE,È un **Massone**. Precisamente: **9° Marchese di Huntly, Gran Maestro di Scozia.**
George Henry Gordon,MASSONE,È un **Massone**. Precisamente: **Generale dell'Unione.**
George Gordon,MASSONE,È un **Massone**. Precisamente: **5° Duca di Gordon, Gran Maestro di Scozia.**
John Brown Gordon,MASSONE,È un **Massone**. Precisamente: **Generale Confederato e avvocato.**
Alexander Snow Gordon,MASSONE,È un **Massone**. Precisamente: **Orafo di New York.**
Sir John Gorton,MASSONE,È un **Massone**. Precisamente: **19° Primo Ministro dell'Australia.**
Robert Freke Gould,MASSONE,È un **Massone**. Precisamente: **Soldato, avvocato e storico della Massoneria.**
Chuck Grassley,MASSONE,È un **Massone**. Precisamente: **Senatore degli Stati Uniti per l'Iowa.**
Eileen Gray,MASSONE,È un **Massone**. Precisamente: **Ciclista e fondatrice della Women's Cycle Racing Association.**
Adolphus Greely,MASSONE,È un **Massone**. Precisamente: **Esploratore polare americano.**
Al Green,MASSONE,È un **Massone**. Precisamente: **Cantante, compositore, produttore discografico e pastore americano.**
Ron Greenwood,MASSONE,È un **Massone**. Precisamente: **Allenatore della nazionale di calcio inglese.**
Henri Grégoire,MASSONE,È un **Massone**. Precisamente: **Sacerdote cattolico romano e leader rivoluzionario francese.**
Jules Grévy,MASSONE,È un **Massone**. Precisamente: **Presidente della Terza Repubblica Francese.**
D. W. Griffith,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Regista cinematografico americano, pioniere del cinema e figura chiave nello sviluppo del linguaggio cinematografico.**, è anche massone per il seguente motivo: **Regista di fama mondiale.**
Doug Grimston,MASSONE,È un **Massone**. Precisamente: **Dirigente canadese di hockey su ghiaccio.**
Alfred Robert Grindlay,MASSONE,È un **Massone**. Precisamente: **Inventore, industriale, fondatore di Grindlay Peerless.**
Reginald Robert Grindlay,MASSONE,È un **Massone**. Precisamente: **Industriale britannico e pilota motociclistico.**
Robert Melville Grindlay,MASSONE,È un **Massone**. Precisamente: **Soldato, banchiere e artista britannico.**
Virgil I. Grissom,MASSONE,È un **Massone**. Precisamente: **Astronauta americano.**
Milan Grol,MASSONE,È un **Massone**. Precisamente: **Critico letterario, politico serbo.**
Francis Grose,MASSONE,È un **Massone**. Precisamente: **Antiquario inglese.**
George Grossmith Jr.,MASSONE,È un **Massone**. Precisamente: **Attore di musical teatrali.**
William A. Guerry,MASSONE,È un **Massone**. Precisamente: **Ottavo vescovo della Diocesi Episcopale della Carolina del Sud.**
Joseph-Ignace Guillotin,MASSONE,È un **Massone**. Precisamente: **Chirurgo e politico francese, noto per la ghigliottina.**
Grant Wood,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Artista americano, noto per il suo dipinto iconico "American Gothic".**, è anche massone per il seguente motivo: **Artista di fama.**
Haakon VII,MASSONE,È un **Massone**. Precisamente: **Re di Norvegia.**
John Winthrop Hackett,MASSONE,È un **Massone**. Precisamente: **Editore di giornali e politico australiano. Gran Maestro dell'Australia Occidentale.**
Bobby Hackett,MASSONE,È un **Massone**. Precisamente: **Musicista jazz (tromba, cornetta e chitarra).**
Alfred Cort Haddon,MASSONE,È un **Massone**. Precisamente: **Antropologo britannico.**
Samuel Hahnemann,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Medico tedesco, fondatore dell'omeopatia.**, è anche massone per il seguente motivo: **Scienziato e medico.**
Douglas Haig,MASSONE,È un **Massone**. Precisamente: **Maresciallo di campo britannico, Comandante della British Expeditionary Forces.**
Manly Palmer Hall,MASSONE,È un **Massone**. Precisamente: **Autore esoterico.**
Lyman Hall,MASSONE,È un **Massone**. Precisamente: **Medico e firmatario della Dichiarazione di Indipendenza degli Stati Uniti.**
Prince Hall,MASSONE,È un **Massone**. Precisamente: **Fondatore della Massoneria Prince Hall.**
(Thomas) Frederick Halsey,MASSONE,È un **Massone**. Precisamente: **Politico, soldato e proprietario terriero britannico. Deputato Gran Maestro della UGLE.**
Mark Hambourg,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Pianista da concerto russo-britannico di fama mondiale.**, è anche massone per il seguente motivo: **Musicista di fama.**
James Hamilton, 1st Duke of Abercorn,MASSONE,È un **Massone**. Precisamente: **Politico conservatore britannico, Lord Luogotenente d'Irlanda. Gran Maestro d'Irlanda.**
James Hamilton, 2nd Duke of Abercorn,MASSONE,È un **Massone**. Precisamente: **Nobile e diplomatico britannico. Gran Maestro d'Irlanda.**
James Hamilton, 7th Earl of Abercorn,MASSONE,È un **Massone**. Precisamente: **Nobile scozzese e irlandese. Gran Maestro d'Inghilterra.**
William John Hammond,MASSONE,È un **Massone**. Precisamente: **Attore-manager britannico.**
Lionel Hampton,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Musicista jazz americano, vibrafonista di fama mondiale.**, è anche massone per il seguente motivo: **Artista di fama.**
John Hancock,MASSONE,È un **Massone**. Precisamente: **Rivoluzionario americano, mercante e statista, noto per la sua firma sulla Dichiarazione di Indipendenza.**
Winfield Scott Hancock,MASSONE,È un **Massone**. Precisamente: **Generale degli Stati Uniti.**
Agoston Haraszthy,MASSONE,È un **Massone**. Precisamente: **Nobile ungherese-americano, pioniere del vino in Wisconsin e California.**
Warren G. Harding,MASSONE,È un **Massone**. Precisamente: **29° Presidente degli Stati Uniti.**
Oliver Hardy,MASSONE,È un **Massone**. Precisamente: **Attore, membro del duo comico Stanlio e Ollio.**
John M. Harlan,MASSONE,È un **Massone**. Precisamente: **Giudice Associato della Corte Suprema degli Stati Uniti.**
John Harmer,MASSONE,È un **Massone**. Precisamente: **Vescovo Anglicano inglese e australiano.**
Colonel John Harrelson,MASSONE,È un **Massone**. Precisamente: **Primo cancelliere della North Carolina State University.**
Augustus Harris,MASSONE,È un **Massone**. Precisamente: **Attore, impresario e drammaturgo britannico.**
John Harris,MASSONE,È un **Massone**. Precisamente: **Artista inglese, considerato il "Padre del tracciato massonico".**
Mark Hatfield,MASSONE,È un **Massone**. Precisamente: **Senatore degli Stati Uniti.**
Ichirō Hatoyama,MASSONE,È un **Massone**. Precisamente: **Tre volte Primo Ministro del Giappone.**
George Hay,MASSONE,È un **Massone**. Precisamente: **8° Marchese di Tweeddale, Maresciallo di campo britannico.**
Joseph Haydn,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Compositore austriaco, considerato il "Padre della Sinfonia" e del quartetto d'archi.**, è anche massone per il seguente motivo: **Compositore di fama mondiale.**
Thomas Hay-Drummond,MASSONE,È un **Massone**. Precisamente: **11° Conte di Kinnoull, Gran Maestro di Scozia.**
Jesse Helms,MASSONE,È un **Massone**. Precisamente: **Senatore degli Stati Uniti per la Carolina del Nord.**
Heinrich Heine,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Poeta, scrittore e critico letterario tedesco, figura di spicco del Romanticismo.**, è anche massone per il seguente motivo: **Letterato e poeta.**
Karl Brooks Heisey,MASSONE,È un **Massone**. Precisamente: **Ingegnere minerario canadese.**
Claude Adrien Helvétius,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Filosofo francese dell'Illuminismo, la sua opera fu influente sulla filosofia politica.**, è anche massone per il seguente motivo: **Filosofo influente.**
Herbert Hensley Henson,MASSONE,È un **Massone**. Precisamente: **Vescovo di Durham, noto ecclesiastico inglese.**
Henry Herbert,MASSONE,È un **Massone**. Precisamente: **4° Conte di Carnarvon.**
Percy Herbert,MASSONE,È un **Massone**. Precisamente: **Vescovo di Norwich.**
Johann Gottfried Herder,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Filosofo, teologo e poeta tedesco, figura chiave del movimento Sturm und Drang.**, è anche massone per il seguente motivo: **Filosofo e letterato.**
Benjamín Herrera,MASSONE,È un **Massone**. Precisamente: **Politico liberale e generale colombiano.**
Hermann Hesse,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Romanziere, poeta e pittore tedesco-svizzero, Premio Nobel per la Letteratura (1946).**, è anche massone per il seguente motivo: **Premio Nobel e scrittore di fama mondiale.**
Henry Heth,MASSONE,È un **Massone**. Precisamente: **Generale Confederato.**
Joseph Hewes,MASSONE,È un **Massone**. Precisamente: **Firmatario della Dichiarazione di Indipendenza.**
Nugent Hicks,MASSONE,È un **Massone**. Precisamente: **Vescovo Anglicano inglese.**
Prince Naruhiko Higashikuni,MASSONE,È un **Massone**. Precisamente: **Principe imperiale giapponese, Primo Ministro del Giappone.**
Joseph Highmore,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Pittore inglese, noto per i suoi ritratti.**, è anche massone per il seguente motivo: **Artista di fama.**
Edward Hindle,MASSONE,È un **Massone**. Precisamente: **Entomologo britannico.**
John Henry Hirst,MASSONE,È un **Massone**. Precisamente: **Architetto britannico.**
James Hoban,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Architetto irlandese-americano, progettista della Casa Bianca.**, è anche massone per il seguente motivo: **Architetto di fama.**
Bertram Maurice Hobby,MASSONE,È un **Massone**. Precisamente: **Entomologo e accademico inglese.**
Christopher L. Hodapp,MASSONE,È un **Massone**. Precisamente: **Autore.**
Wilhelm Hofmeister,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Botanico tedesco, noto per la scoperta dell'alternanza di generazioni nelle piante.**, è anche massone per il seguente motivo: **Scienziato fondamentale.**
William Hogarth,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Pittore, incisore e caricaturista inglese, noto per le sue serie di dipinti satirici.**, è anche massone per il seguente motivo: **Artista di fama mondiale.**
Cyrus K. Holliday,MASSONE,È un **Massone**. Precisamente: **Fondatore e sindaco di Topeka, Kansas, presidente della Atchison, Topeka and Santa Fe Railway.**
Thomas M. Holt,MASSONE,È un **Massone**. Precisamente: **Industriale, governatore della Carolina del Nord.**
Keith Holyoake,MASSONE,È un **Massone**. Precisamente: **Primo Ministro della Nuova Zelanda, Governatore-Generale.**
Gordon Honeycombe,MASSONE,È un **Massone**. Precisamente: **Newscaster, attore, autore britannico.**
J. Edgar Hoover,MASSONE,È un **Massone**. Precisamente: **Primo direttore dell'FBI.**
Alexander Hore-Ruthven,MASSONE,È un **Massone**. Precisamente: **1° Conte di Gowrie, soldato britannico. Gran Maestro del New South Wales.**
